event_id,timestamp,region,state,plant_id,generation_type,plant_capacity_mw,scheduled_mw,actual_mw,curtailed_mw,deviation_mw,dispatcher_remark,true_cause_label,is_synthetic,source_document_id,predicted_cause,confidence_score,pipeline_status,validation_status
EVT-2026-1001,2026-07-01 02:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,350.6,270.9,79.7,79.7,"High frequency in grid (50.12 Hz), backing down instructed by WRLDC",High Frequency,True,DOC-20260701-GU,High Frequency,0.864,classified,confirmed
EVT-2026-1002,2026-07-12 14:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,181.3,126.6,54.7,54.7,Over-frequency condition (50.08 Hz) detected across regional grid,High Frequency,True,DOC-20260712-TA,High Frequency,0.896,classified,confirmed
EVT-2026-1003,2026-08-05 06:00:00,Western Region,Rajasthan,RJ_SOLAR_01,Solar,1000,744.5,529.4,215.1,139.2,Low demand period discom backing down request,Commercial / Discom Request,True,DOC-20260805-RA,Commercial / Discom Request,0.911,classified,mismatch
EVT-2026-1004,2026-07-18 09:00:00,Southern Region,Andhra Pradesh,AP_SOLAR_02,Solar,450,377.1,319.9,57.2,57.2,Planned line clearance for grid upgrade work,Maintenance / Outage,True,DOC-20260718-AN,Maintenance / Outage,0.91,classified,confirmed
EVT-2026-1005,2026-06-26 08:00:00,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,500,281.5,177.2,104.3,104.3,Reactive power compensation constraint at Tuticorin grid,Grid Security,True,DOC-20260626-TA,Grid Security,0.886,classified,confirmed
EVT-2026-1006,2026-08-11 09:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,234.9,151.7,83.2,83.2,"High frequency in grid (50.11 Hz), backing down instructed by WRLDC",High Frequency,True,DOC-20260811-TA,High Frequency,0.842,classified,confirmed
EVT-2026-1007,2026-07-11 21:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,240.1,206.1,34.0,34.0,Substation maintenance work scheduled at Kayathar,Maintenance / Outage,True,DOC-20260711-TA,Maintenance / Outage,0.848,classified,confirmed
EVT-2026-1008,2026-06-20 19:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,294.2,271.9,22.3,22.3,Planned line clearance for grid upgrade work,Maintenance / Outage,True,DOC-20260620-TA,Maintenance / Outage,0.91,classified,confirmed
EVT-2026-1009,2026-08-04 17:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,201.8,148.0,53.8,53.8,Power surrender by buying utility due to off-peak tariff,Commercial / Discom Request,True,DOC-20260804-GU,Commercial / Discom Request,0.881,classified,confirmed
EVT-2026-1010,2026-08-15 13:00:00,Western Region,Rajasthan,RJ_SOLAR_01,Solar,1000,724.0,535.1,188.9,190.3,"System frequency surge (50.07 Hz), active power curtailment executed",High Frequency,True,DOC-20260815-RA,High Frequency,0.91,classified,confirmed
EVT-2026-1011,2026-06-06 07:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,192.4,153.6,38.8,25.9,System security constraint enforced by NRLDC dispatcher,Grid Security,True,DOC-20260606-GU,Grid Security,0.888,classified,mismatch
EVT-2026-1012,2026-08-07 18:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,302.7,188.5,114.2,114.2,Grid security alert: voltage instability detected at Kayathar,Grid Security,True,DOC-20260807-TA,Grid Security,0.863,classified,confirmed
EVT-2026-1013,2026-07-30 16:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,253.8,210.2,43.6,43.6,Economic dispatch instruction from SLDC control room,Commercial / Discom Request,True,DOC-20260730-GU,Commercial / Discom Request,0.898,classified,confirmed
EVT-2026-1014,2026-08-20 18:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,163.7,146.4,17.3,17.3,Low demand period discom backing down request,Commercial / Discom Request,True,DOC-20260820-GU,Commercial / Discom Request,0.911,classified,confirmed
EVT-2026-1015,2026-07-26 08:00:00,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,500,353.6,232.6,121.0,121.0,System security constraint enforced by NRLDC dispatcher,Grid Security,True,DOC-20260726-TA,Grid Security,0.888,classified,confirmed
EVT-2026-1016,2026-08-20 16:00:00,Western Region,Rajasthan,RJ_SOLAR_01,Solar,1000,641.2,459.3,181.9,181.9,System security constraint enforced by NRLDC dispatcher,Grid Security,True,DOC-20260820-RA,Grid Security,0.888,classified,confirmed
EVT-2026-1017,2026-07-10 14:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,324.5,208.6,115.9,115.9,Transformer maintenance outage at evacuation yard,Maintenance / Outage,True,DOC-20260710-TA,Maintenance / Outage,0.873,classified,confirmed
EVT-2026-1018,2026-06-28 20:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,173.9,116.5,57.4,37.9,Planned line clearance for grid upgrade work,Maintenance / Outage,True,DOC-20260628-GU,Maintenance / Outage,0.91,classified,mismatch
EVT-2026-1019,2026-06-30 12:00:00,Western Region,Madhya Pradesh,MP_SOLAR_01,Solar,500,235.1,197.4,37.7,37.7,Transformer maintenance outage at evacuation yard,Maintenance / Outage,True,DOC-20260630-MA,Maintenance / Outage,0.873,classified,confirmed
EVT-2026-1020,2026-06-30 19:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,243.2,154.2,89.0,89.0,Transmission congestion on Muppandal to Pavagada 765kV line,Transmission Constraint,True,DOC-20260630-TA,Transmission Constraint,0.818,classified,confirmed
EVT-2026-1021,2026-07-30 03:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,159.5,115.9,43.6,43.6,Planned line clearance for grid upgrade work,Maintenance / Outage,True,DOC-20260730-TA,Maintenance / Outage,0.91,classified,confirmed
EVT-2026-1022,2026-07-10 10:00:00,Southern Region,Andhra Pradesh,AP_SOLAR_02,Solar,450,370.0,303.2,66.8,66.8,"System frequency surge (50.07 Hz), active power curtailment executed",High Frequency,True,DOC-20260710-AN,High Frequency,0.91,classified,confirmed
EVT-2026-1023,2026-08-11 17:00:00,Southern Region,Karnataka,KA_SOLAR_01,Solar,600,497.5,350.0,147.5,147.5,N-1 contingency constraint triggered on evacuation line,Transmission Constraint,True,DOC-20260811-KA,Transmission Constraint,0.897,classified,confirmed
