Date,Region,State,Plant_ID,Generation_Type,Scheduled_MW,Actual_MW,Curtailed_MW,Dispatcher_Remark
2026-08-01,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,450.0,380.0,70.0,"High frequency in grid, backing down instructed by SRLDC"
2026-08-01,Southern Region,Tamil Nadu,TN_WIND_02,Wind,300.0,220.0,80.0,"Transmission line constraint at Kayathar substation"
2026-08-01,Southern Region,Karnataka,KA_SOLAR_01,Solar,500.0,500.0,0.0,"Normal operation"
2026-08-01,Western Region,Rajasthan,RJ_SOLAR_01,Solar,600.0,450.0,150.0,"DISCOM commercial request due to low demand"
2026-08-01,Western Region,Gujarat,GJ_WIND_01,Wind,250.0,190.0,60.0,"Grid security alert: voltage instability detected at Bhuj"
2026-08-02,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,460.0,410.0,50.0,"Frequency > 50.05 Hz, curtailment ordered"
2026-08-02,Southern Region,Tamil Nadu,TN_WIND_02,Wind,310.0,290.0,20.0,"Substation maintenance work"
2026-08-02,Southern Region,Karnataka,KA_SOLAR_01,Solar,510.0,420.0,90.0,"Commercial backing down order from Bescom"
2026-08-02,Western Region,Rajasthan,RJ_SOLAR_01,Solar,620.0,500.0,120.0,"Transmission congestion on 765kV line"
2026-08-02,Western Region,Gujarat,GJ_WIND_01,Wind,260.0,260.0,0.0,"Normal operation"
2026-08-03,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,440.0,350.0,90.0,"Over-generation mitigation, grid stability"
2026-08-03,Southern Region,Tamil Nadu,TN_WIND_02,Wind,320.0,240.0,80.0,"High system frequency (>50.08 Hz)"
2026-08-03,Southern Region,Karnataka,KA_SOLAR_01,Solar,500.0,500.0,0.0,"Normal operation"
2026-08-03,Western Region,Rajasthan,RJ_SOLAR_01,Solar,610.0,480.0,130.0,"Grid security constraint: line overload"
2026-08-03,Western Region,Gujarat,GJ_WIND_01,Wind,240.0,180.0,60.0,"Low demand period discom backing down"
